seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
0,1,Florescent,ridge,full_ex,1.0,0.8,0.24336815441663787,0.15217007416336323
0,1,Florescent,ridge,full_1fcs,1.0,0.66,0.24336815441663787,0.15217007416336323
0,1,Florescent,ridge,full_mfcs,1.0,0.66,0.24336815441663787,0.15217007416336323
0,2,Florescent,ridge,full_ex,1.0,0.84,0.3846118932160607,0.20722734000200188
0,2,Florescent,ridge,full_1fcs,1.0,0.76,0.3846118932160607,0.20722734000200188
0,2,Florescent,ridge,full_mfcs,1.0,1.16,0.3846118932160607,0.20722734000200188
0,3,Florescent,ridge,full_ex,1.0,0.64,0.20729365925359128,0.19853423944312276
0,3,Florescent,ridge,full_1fcs,1.0,0.64,0.20729365925359128,0.19853423944312276
0,3,Florescent,ridge,full_mfcs,1.0,0.64,0.20729365925359128,0.19853423944312276
0,4,Florescent,ridge,full_ex,1.0,0.66,0.20291476822729151,0.1815801765632226
0,4,Florescent,ridge,full_1fcs,1.0,0.66,0.20291476822729151,0.1815801765632226
0,4,Florescent,ridge,full_mfcs,1.0,0.66,0.20291476822729151,0.1815801765632226
0,5,Florescent,ridge,full_ex,1.0,0.66,0.19580412416282533,0.17996614202322686
0,5,Florescent,ridge,full_1fcs,1.0,0.66,0.19580412416282533,0.17996614202322686
0,5,Florescent,ridge,full_mfcs,1.0,0.66,0.19580412416282533,0.17996614202322686
1,1,Florescent,ridge,full_ex,1.0,0.36,0.127909573968192,0.027168707136259688
1,1,Florescent,ridge,full_1fcs,1.0,1.08,0.127909573968192,0.027168707136259688
1,1,Florescent,ridge,full_mfcs,1.0,1.08,0.127909573968192,0.027168707136259688
1,2,Florescent,ridge,full_ex,1.0,0.4,0.14034304558545532,0.27530285797090737
1,2,Florescent,ridge,full_1fcs,1.0,0.48,0.14034304558545532,0.27530285797090737
1,2,Florescent,ridge,full_mfcs,1.0,0.5,0.14034304558545532,0.27530285797090737
1,3,Florescent,ridge,full_ex,1.0,0.54,0.2752479621248789,0.23900045950059934
1,3,Florescent,ridge,full_1fcs,1.0,0.62,0.2752479621248789,0.23900045950059934
1,3,Florescent,ridge,full_mfcs,1.0,0.62,0.2752479621248789,0.23900045950059934
1,4,Florescent,ridge,full_ex,1.0,0.38,0.2571278975444308,0.25030816082552976
1,4,Florescent,ridge,full_1fcs,1.0,0.6,0.2571278975444308,0.25030816082552976
1,4,Florescent,ridge,full_mfcs,1.0,0.6,0.2571278975444308,0.25030816082552976
1,5,Florescent,ridge,full_ex,1.0,0.38,0.254854960273857,0.25251191409384544
1,5,Florescent,ridge,full_1fcs,1.0,0.6,0.254854960273857,0.25251191409384544
1,5,Florescent,ridge,full_mfcs,1.0,0.62,0.254854960273857,0.25251191409384544
2,1,Florescent,ridge,full_ex,1.0,1.3800000000000001,0.5923269100699583,0.23285771425640883
2,1,Florescent,ridge,full_1fcs,1.0,1.48,0.5923269100699583,0.23285771425640883
2,1,Florescent,ridge,full_mfcs,1.0,1.48,0.5923269100699583,0.23285771425640883
2,2,Florescent,ridge,full_ex,1.0,0.96,0.22926693682736993,0.08762077182361354
2,2,Florescent,ridge,full_1fcs,1.0,1.16,0.22926693682736993,0.08762077182361354
2,2,Florescent,ridge,full_mfcs,1.0,1.16,0.22926693682736993,0.08762077182361354
2,3,Florescent,ridge,full_ex,1.0,0.8200000000000001,0.08764846719731485,0.10719473940622401
2,3,Florescent,ridge,full_1fcs,1.0,0.96,0.08764846719731485,0.10719473940622401
2,3,Florescent,ridge,full_mfcs,1.0,0.96,0.08764846719731485,0.10719473940622401
2,4,Florescent,ridge,full_ex,1.0,0.8200000000000001,0.0974206477615171,0.1542535167105721
2,4,Florescent,ridge,full_1fcs,1.0,0.98,0.0974206477615171,0.1542535167105721
2,4,Florescent,ridge,full_mfcs,1.0,0.98,0.0974206477615171,0.1542535167105721
2,5,Florescent,ridge,full_ex,1.0,0.84,0.1163637025582405,0.13601607558653267
2,5,Florescent,ridge,full_1fcs,1.0,0.98,0.1163637025582405,0.13601607558653267
2,5,Florescent,ridge,full_mfcs,1.0,0.98,0.1163637025582405,0.13601607558653267
3,1,Florescent,ridge,full_ex,1.0,0.78,0.4533179600614057,0.07142881317137012
3,1,Florescent,ridge,full_1fcs,0.0,0.98,0.4533179600614057,0.07142881317137012
3,1,Florescent,ridge,full_mfcs,0.0,0.98,0.4533179600614057,0.07142881317137012
3,2,Florescent,ridge,full_ex,1.0,0.92,0.4797013445814746,0.6194470319232122
3,2,Florescent,ridge,full_1fcs,1.0,1.32,0.4797013445814746,0.6194470319232122
3,2,Florescent,ridge,full_mfcs,1.0,1.44,0.4797013445814746,0.6194470319232122
3,3,Florescent,ridge,full_ex,1.0,0.78,0.6193630731022665,0.6840516536564089
3,3,Florescent,ridge,full_1fcs,1.0,0.78,0.6193630731022665,0.6840516536564089
3,3,Florescent,ridge,full_mfcs,1.0,0.86,0.6193630731022665,0.6840516536564089
3,4,Florescent,ridge,full_ex,1.0,0.78,0.6516976442776997,0.7922987373746655
3,4,Florescent,ridge,full_1fcs,1.0,0.92,0.6516976442776997,0.7922987373746655
3,4,Florescent,ridge,full_mfcs,1.0,1.04,0.6516976442776997,0.7922987373746655
3,5,Florescent,ridge,full_ex,1.0,0.76,0.6985552856910645,0.7147479625306
3,5,Florescent,ridge,full_1fcs,1.0,1.02,0.6985552856910645,0.7147479625306
3,5,Florescent,ridge,full_mfcs,1.0,1.02,0.6985552856910645,0.7147479625306
4,1,Florescent,ridge,full_ex,1.0,0.58,0.1836730301053351,0.1686761902972114
4,1,Florescent,ridge,full_1fcs,1.0,0.62,0.1836730301053351,0.1686761902972114
4,1,Florescent,ridge,full_mfcs,1.0,0.62,0.1836730301053351,0.1686761902972114
4,2,Florescent,ridge,full_ex,1.0,0.42,0.022592352589700153,0.13325414886850137
4,2,Florescent,ridge,full_1fcs,1.0,0.38,0.022592352589700153,0.13325414886850137
4,2,Florescent,ridge,full_mfcs,1.0,0.78,0.022592352589700153,0.13325414886850137
4,3,Florescent,ridge,full_ex,1.0,0.52,0.13323597732882023,0.13810545273661595
4,3,Florescent,ridge,full_1fcs,1.0,0.5,0.13323597732882023,0.13810545273661595
4,3,Florescent,ridge,full_mfcs,1.0,0.5,0.13323597732882023,0.13810545273661595
4,4,Florescent,ridge,full_ex,1.0,0.52,0.13567051511493305,0.13859915007826923
4,4,Florescent,ridge,full_1fcs,1.0,0.48,0.13567051511493305,0.13859915007826923
4,4,Florescent,ridge,full_mfcs,1.0,0.52,0.13567051511493305,0.13859915007826923
4,5,Florescent,ridge,full_ex,1.0,0.52,0.13664667332964314,0.13802219499154314
4,5,Florescent,ridge,full_1fcs,1.0,0.52,0.13664667332964314,0.13802219499154314
4,5,Florescent,ridge,full_mfcs,1.0,0.52,0.13664667332964314,0.13802219499154314
5,1,Florescent,ridge,full_ex,0.0,1.18,0.7212967035010552,1.5532767834816574
5,1,Florescent,ridge,full_1fcs,1.0,2.22,0.7212967035010552,1.5532767834816574
5,1,Florescent,ridge,full_mfcs,1.0,2.22,0.7212967035010552,1.5532767834816574
5,2,Florescent,ridge,full_ex,1.0,1.1,1.1205114336779767,0.7868532169204187
5,2,Florescent,ridge,full_1fcs,1.0,1.46,1.1205114336779767,0.7868532169204187
5,2,Florescent,ridge,full_mfcs,1.0,1.6400000000000001,1.1205114336779767,0.7868532169204187
5,3,Florescent,ridge,full_ex,1.0,1.08,0.7869647223047598,0.8599097336968561
5,3,Florescent,ridge,full_1fcs,1.0,1.46,0.7869647223047598,0.8599097336968561
5,3,Florescent,ridge,full_mfcs,1.0,1.46,0.7869647223047598,0.8599097336968561
5,4,Florescent,ridge,full_ex,1.0,1.06,0.8234311326010777,0.7008622731898854
5,4,Florescent,ridge,full_1fcs,1.0,1.34,0.8234311326010777,0.7008622731898854
5,4,Florescent,ridge,full_mfcs,1.0,1.34,0.8234311326010777,0.7008622731898854
