seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
0,1,Florescent,ridge,full_ex,1.0,0.64,0.1833942463306461,0.06923908160850457
0,1,Florescent,ridge,full_1fcs,1.0,0.76,0.1833942463306461,0.06923908160850457
0,1,Florescent,ridge,full_mfcs,1.0,0.76,0.1833942463306461,0.06923908160850457
0,2,Florescent,ridge,full_ex,1.0,0.52,0.1421748414941511,0.15871550723567035
0,2,Florescent,ridge,full_1fcs,1.0,0.48,0.1421748414941511,0.15871550723567035
0,2,Florescent,ridge,full_mfcs,1.0,1.0,0.1421748414941511,0.15871550723567035
0,3,Florescent,ridge,full_ex,1.0,0.52,0.15871258870209104,0.16604684327196367
0,3,Florescent,ridge,full_1fcs,1.0,0.5,0.15871258870209104,0.16604684327196367
0,3,Florescent,ridge,full_mfcs,1.0,0.5,0.15871258870209104,0.16604684327196367
0,4,Florescent,ridge,full_ex,1.0,0.52,0.16237939243232652,0.1528469532248063
0,4,Florescent,ridge,full_1fcs,1.0,0.5,0.16237939243232652,0.1528469532248063
0,4,Florescent,ridge,full_mfcs,1.0,0.5,0.16237939243232652,0.1528469532248063
0,5,Florescent,ridge,full_ex,1.0,0.52,0.15920209960306786,0.16570787277435117
0,5,Florescent,ridge,full_1fcs,1.0,0.5,0.15920209960306786,0.16570787277435117
0,5,Florescent,ridge,full_mfcs,1.0,0.5,0.15920209960306786,0.16570787277435117
1,1,Florescent,ridge,full_ex,1.0,0.28,0.1230510809397691,0.024163832616505954
1,1,Florescent,ridge,full_1fcs,1.0,0.62,0.1230510809397691,0.024163832616505954
1,1,Florescent,ridge,full_mfcs,1.0,0.62,0.1230510809397691,0.024163832616505954
1,2,Florescent,ridge,full_ex,1.0,0.28,0.09894046680680929,0.10713240132200798
1,2,Florescent,ridge,full_1fcs,1.0,0.9,0.09894046680680929,0.10713240132200798
1,2,Florescent,ridge,full_mfcs,1.0,1.18,0.09894046680680929,0.10713240132200798
1,3,Florescent,ridge,full_ex,1.0,0.3,0.1073688734608846,0.142184273102006
1,3,Florescent,ridge,full_1fcs,1.0,0.38,0.1073688734608846,0.142184273102006
1,3,Florescent,ridge,full_mfcs,1.0,0.6,0.1073688734608846,0.142184273102006
1,4,Florescent,ridge,full_ex,1.0,0.34,0.17916369609174754,0.11959744787154643
1,4,Florescent,ridge,full_1fcs,1.0,1.22,0.17916369609174754,0.11959744787154643
1,4,Florescent,ridge,full_mfcs,1.0,1.92,0.17916369609174754,0.11959744787154643
1,5,Florescent,ridge,full_ex,0.0,0.38,0.324420136194182,0.1202423527289103
1,5,Florescent,ridge,full_1fcs,1.0,1.3800000000000001,0.324420136194182,0.1202423527289103
1,5,Florescent,ridge,full_mfcs,1.0,1.58,0.324420136194182,0.1202423527289103
2,1,Florescent,ridge,full_ex,1.0,1.08,0.34928665972922085,0.09594765871390362
2,1,Florescent,ridge,full_1fcs,1.0,1.2,0.34928665972922085,0.09594765871390362
2,1,Florescent,ridge,full_mfcs,1.0,1.2,0.34928665972922085,0.09594765871390362
2,2,Florescent,ridge,full_ex,1.0,0.9400000000000001,0.13702098504597604,0.21488587843366785
2,2,Florescent,ridge,full_1fcs,1.0,0.9400000000000001,0.13702098504597604,0.21488587843366785
2,2,Florescent,ridge,full_mfcs,1.0,0.98,0.13702098504597604,0.21488587843366785
2,3,Florescent,ridge,full_ex,1.0,1.1,0.3401668411720845,0.18332685137072682
2,3,Florescent,ridge,full_1fcs,1.0,1.22,0.3401668411720845,0.18332685137072682
2,3,Florescent,ridge,full_mfcs,1.0,1.58,0.3401668411720845,0.18332685137072682
2,4,Florescent,ridge,full_ex,1.0,1.02,0.2162212650630742,0.016260637528576025
2,4,Florescent,ridge,full_1fcs,1.0,1.08,0.2162212650630742,0.016260637528576025
2,4,Florescent,ridge,full_mfcs,1.0,1.28,0.2162212650630742,0.016260637528576025
2,5,Florescent,ridge,full_ex,1.0,0.98,0.21486148800174143,0.21816279261088703
2,5,Florescent,ridge,full_1fcs,1.0,1.0,0.21486148800174143,0.21816279261088703
2,5,Florescent,ridge,full_mfcs,1.0,1.0,0.21486148800174143,0.21816279261088703
3,1,Florescent,ridge,full_ex,1.0,0.64,0.25682547000107636,0.16867020285650183
3,1,Florescent,ridge,full_1fcs,1.0,0.72,0.25682547000107636,0.16867020285650183
3,1,Florescent,ridge,full_mfcs,1.0,0.72,0.25682547000107636,0.16867020285650183
3,2,Florescent,ridge,full_ex,1.0,0.64,0.23913463478268351,0.09282176801796782
3,2,Florescent,ridge,full_1fcs,1.0,0.58,0.23913463478268351,0.09282176801796782
3,2,Florescent,ridge,full_mfcs,1.0,0.76,0.23913463478268351,0.09282176801796782
3,3,Florescent,ridge,full_ex,1.0,0.6,0.25450406426853023,0.1318771690357926
3,3,Florescent,ridge,full_1fcs,1.0,0.64,0.25450406426853023,0.1318771690357926
3,3,Florescent,ridge,full_mfcs,1.0,0.8200000000000001,0.25450406426853023,0.1318771690357926
3,4,Florescent,ridge,full_ex,1.0,0.38,0.037777256642622874,0.08676316493903419
3,4,Florescent,ridge,full_1fcs,1.0,0.46,0.037777256642622874,0.08676316493903419
3,4,Florescent,ridge,full_mfcs,1.0,0.78,0.037777256642622874,0.08676316493903419
3,5,Florescent,ridge,full_ex,1.0,0.36,-0.03206657628415994,0.07391730593230912
3,5,Florescent,ridge,full_1fcs,1.0,0.36,-0.03206657628415994,0.07391730593230912
3,5,Florescent,ridge,full_mfcs,1.0,0.52,-0.03206657628415994,0.07391730593230912
4,1,Florescent,ridge,full_ex,1.0,0.6,0.24486281865262297,0.10185261115936918
4,1,Florescent,ridge,full_1fcs,1.0,1.2,0.24486281865262297,0.10185261115936918
4,1,Florescent,ridge,full_mfcs,1.0,1.2,0.24486281865262297,0.10185261115936918
4,2,Florescent,ridge,full_ex,1.0,0.46,0.13348652604918218,0.07415849152916087
4,2,Florescent,ridge,full_1fcs,1.0,0.46,0.13348652604918218,0.07415849152916087
4,2,Florescent,ridge,full_mfcs,1.0,0.8,0.13348652604918218,0.07415849152916087
4,3,Florescent,ridge,full_ex,1.0,0.42,0.07417117057093707,0.0754863971958798
4,3,Florescent,ridge,full_1fcs,1.0,0.42,0.07417117057093707,0.0754863971958798
4,3,Florescent,ridge,full_mfcs,1.0,0.42,0.07417117057093707,0.0754863971958798
4,4,Florescent,ridge,full_ex,1.0,0.44,0.074828713606544,0.07371451643375108
4,4,Florescent,ridge,full_1fcs,1.0,0.44,0.074828713606544,0.07371451643375108
4,4,Florescent,ridge,full_mfcs,1.0,0.44,0.074828713606544,0.07371451643375108
4,5,Florescent,ridge,full_ex,1.0,0.44,0.07445734100979119,0.0728391982864812
4,5,Florescent,ridge,full_1fcs,1.0,0.44,0.07445734100979119,0.0728391982864812
4,5,Florescent,ridge,full_mfcs,1.0,0.44,0.07445734100979119,0.0728391982864812
5,1,Florescent,ridge,full_ex,1.0,0.5,-0.07189266332905422,0.07576591419756257
5,1,Florescent,ridge,full_1fcs,1.0,0.7000000000000001,-0.07189266332905422,0.07576591419756257
5,1,Florescent,ridge,full_mfcs,1.0,0.7000000000000001,-0.07189266332905422,0.07576591419756257
5,2,Florescent,ridge,full_ex,1.0,0.88,0.3384640107458019,0.21747902538446828
5,2,Florescent,ridge,full_1fcs,1.0,1.44,0.3384640107458019,0.21747902538446828
5,2,Florescent,ridge,full_mfcs,1.0,1.74,0.3384640107458019,0.21747902538446828
5,3,Florescent,ridge,full_ex,1.0,0.8200000000000001,0.25133566594125983,0.0009969079358397998
5,3,Florescent,ridge,full_1fcs,1.0,1.16,0.25133566594125983,0.0009969079358397998
5,3,Florescent,ridge,full_mfcs,1.0,1.46,0.25133566594125983,0.0009969079358397998
5,4,Florescent,ridge,full_ex,1.0,0.64,0.14857899919182246,0.1540012521329545
5,4,Florescent,ridge,full_1fcs,1.0,0.6,0.14857899919182246,0.1540012521329545
5,4,Florescent,ridge,full_mfcs,1.0,0.64,0.14857899919182246,0.1540012521329545
5,5,Florescent,ridge,full_ex,1.0,0.64,0.15399899081045618,0.08699585587932568
5,5,Florescent,ridge,full_1fcs,1.0,0.64,0.15399899081045618,0.08699585587932568
5,5,Florescent,ridge,full_mfcs,1.0,0.64,0.15399899081045618,0.08699585587932568
6,1,Florescent,ridge,full_ex,1.0,0.92,0.23473364307771677,0.13131823598432574
6,1,Florescent,ridge,full_1fcs,1.0,0.96,0.23473364307771677,0.13131823598432574
6,1,Florescent,ridge,full_mfcs,1.0,0.96,0.23473364307771677,0.13131823598432574
6,2,Florescent,ridge,full_ex,1.0,0.86,0.14997436100481687,0.07007235990772101
6,2,Florescent,ridge,full_1fcs,1.0,0.8,0.14997436100481687,0.07007235990772101
