seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
0,1,Fluorescent,ridge,full_ex,1.0,0.7000000000000001,0.17205965420331998,0.27563744948799823
0,1,Fluorescent,ridge,full_1fcs,1.0,0.7000000000000001,0.17205965420331998,0.27563744948799823
0,1,Fluorescent,ridge,full_mfcs,1.0,0.7000000000000001,0.17205965420331998,0.27563744948799823
0,2,Fluorescent,ridge,full_ex,1.0,1.0,0.416614560355552,0.2686946693489906
0,2,Fluorescent,ridge,full_1fcs,1.0,0.76,0.416614560355552,0.2686946693489906
0,2,Fluorescent,ridge,full_mfcs,1.0,0.8,0.416614560355552,0.2686946693489906
0,3,Fluorescent,ridge,full_ex,1.0,0.78,0.2875666761602716,0.2917967810504025
0,3,Fluorescent,ridge,full_1fcs,1.0,0.72,0.2875666761602716,0.2917967810504025
0,3,Fluorescent,ridge,full_mfcs,1.0,0.78,0.2875666761602716,0.2917967810504025
0,4,Fluorescent,ridge,full_ex,1.0,0.76,0.2917959549069133,0.27455896028468635
0,4,Fluorescent,ridge,full_1fcs,1.0,0.76,0.2917959549069133,0.27455896028468635
0,4,Fluorescent,ridge,full_mfcs,1.0,0.8,0.2917959549069133,0.27455896028468635
0,5,Fluorescent,ridge,full_ex,1.0,0.74,0.28317829927791704,0.2390684524961236
0,5,Fluorescent,ridge,full_1fcs,1.0,0.74,0.28317829927791704,0.2390684524961236
0,5,Fluorescent,ridge,full_mfcs,1.0,1.08,0.28317829927791704,0.2390684524961236
1,1,Fluorescent,ridge,full_ex,1.0,0.8200000000000001,0.33687788482578623,0.3055734852608737
1,1,Fluorescent,ridge,full_1fcs,1.0,1.24,0.33687788482578623,0.3055734852608737
1,1,Fluorescent,ridge,full_mfcs,1.0,1.24,0.33687788482578623,0.3055734852608737
1,2,Fluorescent,ridge,full_ex,1.0,0.92,0.3175783109197829,0.30816500147955767
1,2,Fluorescent,ridge,full_1fcs,1.0,1.2,0.3175783109197829,0.30816500147955767
1,2,Fluorescent,ridge,full_mfcs,1.0,1.6600000000000001,0.3175783109197829,0.30816500147955767
1,3,Fluorescent,ridge,full_ex,1.0,0.9,0.20461813767876824,0.2685163946894022
1,3,Fluorescent,ridge,full_1fcs,1.0,0.9400000000000001,0.20461813767876824,0.2685163946894022
1,3,Fluorescent,ridge,full_mfcs,1.0,0.9400000000000001,0.20461813767876824,0.2685163946894022
1,4,Fluorescent,ridge,full_ex,1.0,0.86,0.3856404165741754,0.29637180698383725
1,4,Fluorescent,ridge,full_1fcs,1.0,1.22,0.3856404165741754,0.29637180698383725
1,4,Fluorescent,ridge,full_mfcs,1.0,1.56,0.3856404165741754,0.29637180698383725
1,5,Fluorescent,ridge,full_ex,0.0,0.9400000000000001,0.4180134816473153,1.5481619566312064
1,5,Fluorescent,ridge,full_1fcs,0.0,1.0,0.4180134816473153,1.5481619566312064
1,5,Fluorescent,ridge,full_mfcs,0.0,1.08,0.4180134816473153,1.5481619566312064
2,1,Fluorescent,ridge,full_ex,1.0,0.74,0.02547637163250149,0.25775607650762306
2,1,Fluorescent,ridge,full_1fcs,1.0,0.66,0.02547637163250149,0.25775607650762306
2,1,Fluorescent,ridge,full_mfcs,1.0,0.66,0.02547637163250149,0.25775607650762306
2,2,Fluorescent,ridge,full_ex,1.0,1.3,0.5820590463089776,0.29899812902722084
2,2,Fluorescent,ridge,full_1fcs,1.0,1.3,0.5820590463089776,0.29899812902722084
2,2,Fluorescent,ridge,full_mfcs,1.0,1.56,0.5820590463089776,0.29899812902722084
2,3,Fluorescent,ridge,full_ex,1.0,1.26,0.5225653400098829,0.28610651492730454
2,3,Fluorescent,ridge,full_1fcs,1.0,1.24,0.5225653400098829,0.28610651492730454
2,3,Fluorescent,ridge,full_mfcs,1.0,2.2,0.5225653400098829,0.28610651492730454
2,4,Fluorescent,ridge,full_ex,1.0,1.16,0.555058148294433,0.3043080742252673
2,4,Fluorescent,ridge,full_1fcs,1.0,1.16,0.555058148294433,0.3043080742252673
2,4,Fluorescent,ridge,full_mfcs,1.0,1.16,0.555058148294433,0.3043080742252673
2,5,Fluorescent,ridge,full_ex,1.0,0.88,0.10792514014496056,0.2824372015024772
2,5,Fluorescent,ridge,full_1fcs,1.0,0.88,0.10792514014496056,0.2824372015024772
2,5,Fluorescent,ridge,full_mfcs,1.0,0.88,0.10792514014496056,0.2824372015024772
3,1,Fluorescent,ridge,full_ex,1.0,0.9400000000000001,0.29436989008933023,0.3073020220368464
3,1,Fluorescent,ridge,full_1fcs,1.0,0.88,0.29436989008933023,0.3073020220368464
3,1,Fluorescent,ridge,full_mfcs,1.0,0.88,0.29436989008933023,0.3073020220368464
3,2,Fluorescent,ridge,full_ex,1.0,1.24,0.8510457791677256,1.3090979992518443
3,2,Fluorescent,ridge,full_1fcs,1.0,1.44,0.8510457791677256,1.3090979992518443
3,2,Fluorescent,ridge,full_mfcs,1.0,1.76,0.8510457791677256,1.3090979992518443
3,3,Fluorescent,ridge,full_ex,1.0,1.12,0.6816393635711349,1.2886541130223488
3,3,Fluorescent,ridge,full_1fcs,0.0,1.1,0.6816393635711349,1.2886541130223488
3,3,Fluorescent,ridge,full_mfcs,0.0,1.44,0.6816393635711349,1.2886541130223488
3,4,Fluorescent,ridge,full_ex,1.0,0.86,0.33473537234394685,0.2648161387730141
3,4,Fluorescent,ridge,full_1fcs,1.0,0.86,0.33473537234394685,0.2648161387730141
3,4,Fluorescent,ridge,full_mfcs,1.0,0.86,0.33473537234394685,0.2648161387730141
3,5,Fluorescent,ridge,full_ex,1.0,0.9,0.2688744553755661,0.27110065744093037
3,5,Fluorescent,ridge,full_1fcs,1.0,0.7000000000000001,0.2688744553755661,0.27110065744093037
3,5,Fluorescent,ridge,full_mfcs,1.0,0.8,0.2688744553755661,0.27110065744093037
4,1,Fluorescent,ridge,full_ex,1.0,0.84,0.5403554441095957,0.22420499333812158
4,1,Fluorescent,ridge,full_1fcs,0.0,0.4,0.5403554441095957,0.22420499333812158
4,1,Fluorescent,ridge,full_mfcs,0.0,0.4,0.5403554441095957,0.22420499333812158
4,2,Fluorescent,ridge,full_ex,1.0,0.88,0.5032697340488579,0.6130111208492063
4,2,Fluorescent,ridge,full_1fcs,1.0,0.38,0.5032697340488579,0.6130111208492063
4,2,Fluorescent,ridge,full_mfcs,1.0,1.9000000000000001,0.5032697340488579,0.6130111208492063
4,3,Fluorescent,ridge,full_ex,1.0,0.84,0.48189558246539654,0.5657702701159536
4,3,Fluorescent,ridge,full_1fcs,1.0,0.4,0.48189558246539654,0.5657702701159536
4,3,Fluorescent,ridge,full_mfcs,1.0,0.9,0.48189558246539654,0.5657702701159536
4,4,Fluorescent,ridge,full_ex,1.0,0.8200000000000001,0.34064021796870686,0.3114174937340696
4,4,Fluorescent,ridge,full_1fcs,1.0,0.36,0.34064021796870686,0.3114174937340696
4,4,Fluorescent,ridge,full_mfcs,1.0,0.92,0.34064021796870686,0.3114174937340696
4,5,Fluorescent,ridge,full_ex,1.0,0.8,0.3114293877577142,0.31920043544529747
4,5,Fluorescent,ridge,full_1fcs,1.0,0.36,0.3114293877577142,0.31920043544529747
4,5,Fluorescent,ridge,full_mfcs,1.0,0.8,0.3114293877577142,0.31920043544529747
5,1,Fluorescent,ridge,full_ex,1.0,1.46,0.3522103893101076,0.3682796723900629
5,1,Fluorescent,ridge,full_1fcs,1.0,1.04,0.3522103893101076,0.3682796723900629
5,1,Fluorescent,ridge,full_mfcs,1.0,1.04,0.3522103893101076,0.3682796723900629
5,2,Fluorescent,ridge,full_ex,1.0,1.5,0.3726083584271092,0.30593606130501916
5,2,Fluorescent,ridge,full_1fcs,1.0,1.08,0.3726083584271092,0.30593606130501916
5,2,Fluorescent,ridge,full_mfcs,1.0,1.26,0.3726083584271092,0.30593606130501916
5,3,Fluorescent,ridge,full_ex,1.0,1.3800000000000001,0.3595751300080736,0.30530153774619895
5,3,Fluorescent,ridge,full_1fcs,1.0,1.0,0.3595751300080736,0.30530153774619895
5,3,Fluorescent,ridge,full_mfcs,1.0,1.0,0.3595751300080736,0.30530153774619895
5,4,Fluorescent,ridge,full_ex,1.0,1.32,0.4102477148237067,0.31313440116125485
5,4,Fluorescent,ridge,full_1fcs,1.0,1.32,0.4102477148237067,0.31313440116125485
5,4,Fluorescent,ridge,full_mfcs,1.0,1.76,0.4102477148237067,0.31313440116125485
5,5,Fluorescent,ridge,full_ex,1.0,1.6,0.21718457769710134,0.17799924955577512
5,5,Fluorescent,ridge,full_1fcs,1.0,1.6,0.21718457769710134,0.17799924955577512
5,5,Fluorescent,ridge,full_mfcs,1.0,1.6,0.21718457769710134,0.17799924955577512
6,1,Fluorescent,ridge,full_ex,1.0,0.8200000000000001,0.3429456684674575,0.2506017022764869
6,1,Fluorescent,ridge,full_1fcs,1.0,0.9,0.3429456684674575,0.2506017022764869
6,1,Fluorescent,ridge,full_mfcs,1.0,0.9,0.3429456684674575,0.2506017022764869
6,2,Fluorescent,ridge,full_ex,1.0,0.9,0.4081842499362447,0.2827444597420411
6,2,Fluorescent,ridge,full_1fcs,1.0,1.18,0.4081842499362447,0.2827444597420411
6,2,Fluorescent,ridge,full_mfcs,1.0,1.82,0.4081842499362447,0.2827444597420411
6,3,Fluorescent,ridge,full_ex,0.0,0.96,0.47949259982261383,1.471664684699377
6,3,Fluorescent,ridge,full_1fcs,0.0,1.22,0.47949259982261383,1.471664684699377
6,3,Fluorescent,ridge,full_mfcs,1.0,2.04,0.47949259982261383,1.471664684699377
6,4,Fluorescent,ridge,full_ex,1.0,1.24,0.7142672761477014,0.30612966664367103
6,4,Fluorescent,ridge,full_1fcs,1.0,1.22,0.7142672761477014,0.30612966664367103
6,4,Fluorescent,ridge,full_mfcs,1.0,1.5,0.7142672761477014,0.30612966664367103
6,5,Fluorescent,ridge,full_ex,0.0,1.1400000000000001,0.488402123594713,1.3591007496005614
6,5,Fluorescent,ridge,full_1fcs,0.0,1.42,0.488402123594713,1.3591007496005614
6,5,Fluorescent,ridge,full_mfcs,1.0,2.1,0.488402123594713,1.3591007496005614
7,1,Fluorescent,ridge,full_ex,1.0,1.48,0.7215982597917505,0.22100330642803312
7,1,Fluorescent,ridge,full_1fcs,1.0,1.5,0.7215982597917505,0.22100330642803312
7,1,Fluorescent,ridge,full_mfcs,1.0,1.5,0.7215982597917505,0.22100330642803312
7,2,Fluorescent,ridge,full_ex,1.0,1.24,0.5096864428596903,0.14843216817167929
7,2,Fluorescent,ridge,full_1fcs,1.0,1.32,0.5096864428596903,0.14843216817167929
7,2,Fluorescent,ridge,full_mfcs,1.0,1.4000000000000001,0.5096864428596903,0.14843216817167929
7,3,Fluorescent,ridge,full_ex,1.0,1.32,0.5610591260416847,0.21526304016856493
7,3,Fluorescent,ridge,full_1fcs,1.0,1.42,0.5610591260416847,0.21526304016856493
7,3,Fluorescent,ridge,full_mfcs,1.0,1.46,0.5610591260416847,0.21526304016856493
7,4,Fluorescent,ridge,full_ex,1.0,1.16,0.3441622072947668,0.27414595831160093
7,4,Fluorescent,ridge,full_1fcs,1.0,1.12,0.3441622072947668,0.27414595831160093
